"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",89.5202142368479,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",75.8055607913604,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",70.9091524330558,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",74.3133717692149,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",85.4982425898924,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",98.4864176995115,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",104.32418478637,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",96.5891788251155,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",91.4723838962347,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",100.129537206454,"Nominal GDP Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",113.162577847967,"Nominal GDP Per Capita"
