"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",980,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1100,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1260,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1450,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1660,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",1830,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2030,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2240,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2410,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2620,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",2880,"Gross National Income Based on Purchasing Power Parity Per Capita"
"country/CHN","CN","China","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","InternationalDollar","IDD (USD in year 2000 value)",3160,"Gross National Income Based on Purchasing Power Parity Per Capita"
